2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,1,1,1,1,1,1,1,1
2,2,2,72,72,2,72,2,72,72
23,23,23,23,23,23,120,23,23,23
23,23,23,23,23,23,120,23,23,23
24,24,24,24,24,24,24,24,24,24
21,20,20,20,20,20,6,20,144,144
23,23,23,23,23,23,120,23,23,23
8,8,8,8,8,8,8,48,48,99
119,117,46,46,9,46,46,46,46,117
2,2,2,72,72,2,35,2,72,72
43,41,41,43,41,41,70,11,41,43
106,106,106,106,23,106,106,106,12,106
98,98,98,98,98,98,105,48,98,99
103,8,8,8,8,103,103,103,48,103
107,107,107,27,27,106,106,83,12,106
21,20,20,20,20,20,20,20,20,21
119,119,119,119,119,119,119,119,119,119
152,8,8,40,8,48,105,48,48,99
122,122,122,122,122,122,122,122,122,122
21,20,20,20,20,20,20,20,20,21
21,20,20,20,20,20,20,20,20,21
22,22,22,22,22,22,22,22,22,22
23,23,23,23,23,23,120,23,23,23
24,24,24,24,24,24,24,24,24,24
44,44,44,44,44,44,44,103,48,143
148,148,148,27,27,27,27,27,27,27
148,148,148,27,27,27,27,27,27,27
23,23,23,23,23,23,120,23,23,23
23,23,23,23,23,23,120,23,23,23
98,20,20,20,98,20,6,20,98,21
21,20,20,20,20,20,20,20,20,21
100,100,100,100,100,100,100,100,100,100
2,2,2,125,72,2,125,2,125,125
21,20,20,20,20,20,20,20,20,21
35,35,35,35,35,35,35,35,35,35
43,43,43,43,43,43,43,43,119,43
98,98,98,98,98,98,134,134,98,134
119,119,119,119,119,46,119,46,119,117
21,20,20,20,20,39,91,91,20,39
152,40,40,40,40,48,105,48,48,99
43,41,41,43,41,41,70,11,41,41
8,8,8,8,8,48,105,48,48,99
43,43,43,43,43,43,43,43,43,43
44,44,44,44,44,44,44,44,44,143
100,100,100,54,100,100,100,100,100,100
53,117,46,46,117,46,46,46,46,117
106,106,106,106,23,106,106,106,12,106
44,44,105,20,48,48,105,48,48,99
44,44,44,44,44,39,91,91,20,39
21,91,125,125,72,2,125,125,125,125
100,100,100,54,100,100,100,56,56,56
52,100,100,100,100,100,100,100,100,150
53,117,53,46,117,46,46,46,46,117
100,100,100,54,100,100,100,100,56,56
1,1,1,1,1,1,1,1,1,1
100,100,100,54,100,100,100,56,56,56
98,98,98,98,98,98,80,134,98,57
98,98,98,98,98,98,134,134,98,134
44,59,59,59,59,91,123,91,59,59
2,2,2,72,72,2,72,2,72,125
21,91,20,91,91,91,91,91,91,91
152,40,40,40,40,48,105,48,48,99
107,100,107,27,100,106,106,106,12,106
64,20,20,64,98,20,6,20,144,144
106,106,106,106,23,106,106,106,12,106
106,106,106,106,23,106,106,106,23,106
122,122,122,122,122,122,122,122,122,122
23,23,68,23,23,23,120,23,23,68
21,91,20,91,91,91,91,91,91,91
98,41,41,43,98,41,70,11,41,57
98,98,98,98,98,98,134,134,98,134
2,2,2,72,72,2,72,2,72,72
148,148,148,27,27,27,46,46,46,117
23,23,68,23,23,23,120,23,23,68
122,122,122,122,122,122,122,122,122,88
24,24,24,125,24,24,125,125,125,125
44,20,20,20,48,48,105,48,48,99
100,100,100,100,100,100,100,100,100,100
122,122,122,122,122,122,122,122,122,122
98,98,98,98,98,98,80,134,98,57
122,122,122,122,122,122,122,122,122,122
24,24,24,24,24,24,24,24,24,24
8,8,8,8,8,8,8,83,95,99
148,148,148,27,27,27,27,27,27,27
44,59,59,59,59,91,123,91,59,59
98,98,98,98,98,98,134,134,98,134
100,100,100,100,100,100,100,100,100,100
122,122,122,122,122,122,122,122,122,88
122,122,122,122,122,122,122,122,122,122
44,8,8,44,44,95,8,83,95,143
21,91,20,91,91,91,91,91,91,91
122,122,122,122,122,122,122,122,122,122
43,43,43,43,43,43,43,43,43,43
98,98,98,98,98,98,80,134,98,57
95,95,8,95,95,95,95,95,95,95
2,2,2,72,72,2,72,2,72,72
21,91,20,91,91,91,91,91,91,39
98,98,98,98,98,98,134,134,98,134
44,44,44,44,44,44,44,44,20,99
100,100,100,100,100,100,100,100,100,100
122,122,122,122,122,122,122,122,122,122
8,8,8,8,8,8,8,83,95,99
103,103,103,103,103,103,103,103,103,103
53,111,111,111,117,46,46,46,46,117
44,44,105,44,48,48,105,48,48,99
106,106,106,106,23,106,106,106,23,106
107,107,107,27,27,106,106,106,12,106
52,100,100,100,100,100,100,100,100,150
2,2,2,72,72,2,72,2,72,72
100,100,100,100,100,100,100,100,100,100
111,111,111,111,111,111,111,111,111,111
122,122,122,122,122,122,122,122,122,122
24,24,24,24,24,24,113,113,113,113
122,122,122,122,122,122,122,122,122,122
106,106,106,106,23,106,106,106,23,106
148,148,148,27,27,27,27,27,27,27
53,117,46,46,117,46,46,46,46,117
95,100,100,100,100,100,100,100,95,95
119,119,119,119,119,119,119,119,119,119
23,23,23,23,23,23,120,23,23,23
148,122,122,122,122,122,122,122,122,122
122,122,122,122,122,122,122,122,122,122
123,59,59,59,59,91,123,91,59,59
152,40,40,40,40,98,105,48,48,99
21,91,125,125,72,2,125,125,125,125
106,106,106,106,23,106,106,106,12,106
98,119,119,119,119,98,134,134,98,134
98,111,119,119,119,98,134,134,98,134
24,24,24,24,24,24,24,24,24,24
95,59,59,95,95,95,95,91,95,95
8,8,8,8,8,8,8,48,48,99
2,2,2,72,72,2,72,2,72,72
98,98,98,98,98,98,134,134,98,134
98,98,98,98,98,98,134,134,98,134
64,20,20,64,20,20,6,20,144,144
2,2,2,72,72,2,72,2,72,72
21,20,20,20,20,20,91,91,20,21
21,20,20,20,20,20,91,91,20,21
122,122,122,122,122,122,122,122,122,88
44,44,44,44,44,39,91,91,20,39
122,122,122,141,141,141,141,141,141,141
44,8,105,20,48,48,105,48,48,99
44,44,44,44,44,44,44,44,44,143
21,20,20,20,20,20,6,20,144,144
122,122,122,122,122,122,122,122,122,88
148,148,148,27,27,27,27,27,46,117
148,148,148,27,27,27,27,27,27,27
148,148,148,27,27,27,27,27,27,27
122,122,122,122,122,122,122,122,122,122
52,100,100,100,100,100,100,100,100,150
111,111,111,111,111,111,111,111,111,111
152,8,40,40,8,48,105,48,48,99
21,20,20,20,20,20,20,20,20,21
