55,,,,,,,,,
10,33,60,72,96,132,136,,,
23,28,29,81,89,,,,,
7,28,106,115,120,,,,,
24,82,113,,,,,,,
30,31,64,135,144,,,,,
4,29,47,68,84,106,120,121,,
14,25,42,83,90,102,131,,,
17,38,46,,,,,,,
2,33,35,96,,,,,,
36,41,70,93,133,,,,,
47,63,65,106,107,126,,,,
30,37,48,77,98,124,142,152,,
8,25,42,103,,,,,,
63,83,102,107,147,,,,,
20,21,34,77,138,,,,,
9,38,119,,,,,,,
42,62,131,151,152,,,,,
89,112,114,121,122,,,,,
16,21,31,34,153,,,,,
16,20,137,138,,,,,,
153,,,,,,,,,
3,28,29,120,,,,,,
5,82,129,,,,,,,
8,14,42,44,48,90,99,103,105,143
27,84,147,,,,,,,
26,84,121,147,148,,,,,
3,4,23,67,81,115,120,,,
3,7,23,68,89,114,120,,,
6,13,31,34,57,64,77,94,98,
6,20,30,34,144,153,,,,
52,63,78,87,100,118,150,,,
2,10,35,50,60,76,113,125,,
16,20,30,31,77,,,,,
10,33,,,,,,,,
17,43,64,70,93,94,135,,,
13,71,98,124,134,,,,,
9,17,46,104,119,128,,,,
49,97,137,138,140,,,,,
58,62,71,124,152,,,,,
11,55,70,133,,,,,,
8,14,18,25,48,131,142,152,,
36,93,,,,,,,,
25,49,99,140,143,,,,,
51,54,87,110,118,130,,,,
9,38,104,117,,,,,,
7,12,65,84,106,107,,,,
13,25,42,77,105,142,,,,
39,44,99,138,140,,,,,
33,60,69,125,,,,,,
45,54,56,130,136,,,,,
32,63,66,108,126,150,,,,
104,117,131,146,,,,,,
45,51,56,110,,,,,,
1,41,86,127,133,134,,,,
51,54,109,136,,,,,,
30,80,94,98,,,,,,
40,62,71,128,134,151,,,,
85,97,123,140,,,,,,
2,33,50,61,69,132,,,,
60,69,91,97,123,132,,,,
18,40,58,151,152,,,,,
12,15,32,52,83,107,118,126,,
6,30,36,94,135,,,,,
12,47,106,,,,,,,
52,75,106,108,115,126,139,,,
28,79,81,115,,,,,,
7,29,74,114,121,,,,,
50,60,61,91,125,,,,,
11,36,41,94,133,,,,,
37,40,58,124,134,,,,,
2,96,109,136,,,,,,
116,117,146,,,,,,,
68,114,121,,,,,,,
66,115,139,145,,,,,,
33,82,113,125,129,,,,,
13,16,30,34,48,99,105,138,,
32,100,150,,,,,,,
67,81,101,115,145,,,,,
57,94,98,,,,,,,
3,28,67,79,89,101,122,,,
5,24,76,113,129,,,,,
8,15,63,90,102,118,,,,
7,26,27,47,107,121,147,,,
59,123,130,140,,,,,,
55,98,133,134,,,,,,
32,45,100,110,118,,,,,
92,139,145,149,,,,,,
3,19,29,81,114,122,,,,
8,25,83,95,118,130,140,143,,
61,69,97,137,,,,,,
88,101,122,145,149,,,,,
11,36,43,135,,,,,,
30,36,57,64,70,80,98,133,,
90,118,130,,,,,,,
2,10,72,,,,,,,
39,59,61,91,123,137,140,,,
13,30,37,57,80,86,94,133,134,
25,44,49,77,105,138,,,,
32,78,87,110,,,,,,
79,81,92,122,145,,,,,
8,15,83,131,147,,,,,
14,25,,,,,,,,
38,46,53,111,117,128,131,151,,
25,48,77,99,,,,,,
4,7,12,47,65,66,115,126,,
12,15,47,63,84,147,,,,
52,66,139,,,,,,,
56,72,136,,,,,,,
45,54,87,100,,,,,,
104,128,151,,,,,,,
19,121,122,141,149,,,,,
5,33,76,82,,,,,,
19,29,68,74,89,121,,,,
4,28,66,67,75,79,106,145,,
73,146,148,,,,,,,
46,53,73,104,146,,,,,
32,45,63,83,87,90,95,130,,
17,38,127,128,,,,,,
4,7,23,28,29,,,,,
7,19,27,68,74,84,112,114,148,
19,81,89,92,101,112,149,,,
59,61,85,97,130,132,136,,,
13,37,40,71,152,,,,,
33,50,69,76,,,,,,
12,52,63,66,106,,,,,
55,119,128,134,,,,,,
38,58,104,111,119,127,134,151,,
24,76,82,,,,,,,
45,51,85,90,95,118,123,136,140,
8,18,42,53,102,104,146,147,151,
2,60,61,123,136,,,,,
11,41,55,70,86,94,98,,,
37,55,58,71,86,98,127,128,,
6,36,64,93,,,,,,
2,51,56,72,109,123,130,132,,
21,39,91,97,138,,,,,
16,21,39,49,77,99,137,,,
66,75,88,108,145,,,,,
39,44,49,59,85,90,97,130,143,
112,149,,,,,,,,
13,42,48,152,,,,,,
25,44,90,140,,,,,,
6,31,153,,,,,,,
75,79,88,92,101,115,139,,,
53,73,116,117,131,147,148,,,
15,26,27,84,102,107,131,146,148,
27,116,121,146,147,,,,,
88,92,112,122,141,,,,,
32,52,78,,,,,,,
18,58,62,104,111,128,131,,,
13,18,40,42,62,124,142,,,
20,22,31,144,,,,,,
