Albury,146.9704166253,-36.0266032903
Armidale Dumaresq,151.9575589027,-30.5461094873
Ashfield,151.1306943613,-33.8856917123
Auburn,151.0457490619,-33.8549516335
Ballina,153.4861796289,-28.8529078447
Balranald,143.6116784308,-33.9503423894
Bankstown,151.013071147,-33.9234283683
Bathurst Regional,149.5255533894,-33.430078596
Bega Valley,149.7175683118,-36.8259553491
Bellingen,152.7285814291,-30.4038019206
Berrigan,145.7111935782,-35.7342975453
Blacktown,150.8643091008,-33.7413343519
Bland,146.9612182854,-33.8943540972
Blayney,149.1420416397,-33.5943428004
Blue Mountains,150.4111415164,-33.6975446101
Bogan,146.866851493,-31.5381099443
Bombala,149.0403765688,-36.8835483086
Boorowa,148.8513075825,-34.2936477899
Botany Bay,151.201595334,-33.9423155985
Bourke,145.3567057869,-29.9106084477
Brewarrina,146.9608402132,-29.7915740758
Broken Hill,141.4791685383,-31.9441842907
Burwood,151.1031476507,-33.8836868355
Byron,153.4824616105,-28.6041829372
Cabonne,148.7541274697,-33.1529809277
Camden,150.7239319343,-34.0087566064
Campbelltown,150.8457978787,-34.0833917192
Canada Bay,151.1147552485,-33.8534973177
Canterbury,151.0929009042,-33.9235893974
Carrathool,145.4964431098,-33.6090322394
Central Darling,143.5898231216,-31.8507973615
Cessnock,151.2248481033,-32.925122859
Clarence Valley,152.7511491261,-29.6817421391
Cobar,145.4830289636,-31.8680990396
Coffs Harbour,153.0398209371,-30.18905312
Conargo,144.941002938,-35.1666169206
Coolamon,147.1048356485,-34.6325340624
Cooma-Monaro,149.2246547595,-36.0695331851
Coonamble,148.2916065479,-30.8705178206
Cootamundra,148.0140306099,-34.589879408
Corowa Shire,146.2628638591,-35.8276572698
Cowra,148.7178865578,-33.7964204673
Deniliquin,144.9731791752,-35.5290892261
Dubbo,148.6641650156,-32.2252054573
Dungog,151.6082820421,-32.3494827948
Eurobodalla,149.9470493901,-35.9451565093
Fairfield,150.8954070413,-33.8656364667
Forbes,147.8667399748,-33.421824385
Gilgandra,148.6906884588,-31.6190261458
Glen Innes Severn,151.9030507429,-29.6450136654
Gloucester,151.7951821155,-31.9058098181
Gosford,151.2162352263,-33.3714466858
Goulburn Mulwaree,149.8134910055,-34.8760391875
Great Lakes,152.1535729239,-32.3560183618
Greater Hume Shire,147.1718139458,-35.7502953476
Greater Taree,152.2812155912,-31.792070296
Griffith,146.0034742676,-34.3004084032
Gundagai,148.143546261,-35.0152639172
Gunnedah,150.1888656648,-31.0465596659
Guyra,151.7048319639,-30.1333577203
Gwydir,150.5168141154,-29.5932937367
Harden,148.4063237673,-34.6128246364
Hawkesbury,150.7731985001,-33.3348278427
Hay,144.6837415393,-34.3158381817
Holroyd,150.9574705119,-33.8283626786
Hornsby,151.0891423574,-33.5868296562
Hunter's Hill,151.1451289725,-33.8333518425
Hurstville,151.0714725231,-33.9645078936
Inverell,151.0677119241,-29.3599786024
Jerilderie,145.7880353914,-35.2188590056
Junee,147.6688803399,-34.8172060061
Kempsey,152.6447330817,-30.9515466067
Kiama,150.7562148268,-34.6789125046
Kogarah,151.1080273844,-33.980566448
Ku-ring-gai,151.150911143,-33.7346064046
