2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,1,1,1,1,1,1,1,1
2,2,2,8,8,2,6,2,12,150
8,8,8,20,20,8,8,134,144,134
24,20,20,23,23,20,20,11,20,143
148,23,23,24,24,23,24,20,23,144
21,24,24,27,27,24,27,23,24,21
23,40,40,40,40,27,35,24,27,23
152,41,41,43,41,39,134,27,41,24
43,43,43,44,43,41,43,43,43,27
44,44,44,46,44,43,44,44,44,39
52,59,46,54,48,44,46,46,46,43
53,91,59,59,59,46,70,48,48,56
64,98,68,64,72,48,72,56,56,57
95,100,98,72,91,91,80,83,59,59
98,106,100,91,95,95,91,91,72,68
100,107,105,95,98,98,95,100,91,72
103,111,106,98,100,100,100,103,95,88
106,117,107,100,111,103,103,106,98,91
107,119,111,106,117,106,105,111,100,95
111,148,119,111,119,111,106,119,111,99
119,122,148,119,122,119,111,122,119,100
122,,122,122,,122,119,125,122,103
,,125,125,,,120,,125,106
,,,,,,122,,,111
,,,,,,123,,,117
,,,,,,125,,,119
,,,,,,,,,122
,,,,,,,,,125
