2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,1,1,1,1,1,1,1,1
2,2,2,8,8,2,6,2,12,21
8,8,8,20,9,8,8,11,20,22
21,20,20,22,20,20,20,20,22,23
22,22,22,23,22,22,22,22,23,24
23,23,23,24,23,23,24,23,24,27
24,24,24,27,24,24,27,24,27,35
35,35,35,35,27,27,35,27,35,39
43,40,40,40,35,35,43,35,41,41
44,41,41,43,40,39,44,43,43,43
52,43,43,44,41,41,46,44,44,56
53,44,44,46,43,43,70,46,46,57
64,59,46,54,44,44,72,48,48,59
95,91,53,59,48,46,80,56,56,68
98,95,59,64,59,48,91,83,59,72
100,98,68,72,72,91,95,91,72,88
103,100,98,91,91,95,100,95,91,91
106,103,100,95,95,98,103,100,95,95
107,106,103,98,98,100,105,103,98,99
111,107,105,100,100,103,106,106,100,100
119,111,106,103,103,106,111,111,103,103
122,117,107,106,111,111,113,113,111,106
123,119,111,111,117,119,119,119,113,111
148,122,119,119,119,122,120,122,119,113
152,148,122,122,122,141,122,125,122,117
,,125,125,141,,123,134,125,119
,,148,141,,,125,141,141,122
,,,,,,134,,144,125
,,,,,,141,,,134
,,,,,,,,,141
,,,,,,,,,143
,,,,,,,,,144
,,,,,,,,,150
