2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,1,1,1,1,1,1,1,1
2,2,2,72,72,2,72,2,72,72
23,23,23,23,23,23,120,23,23,23
24,24,24,24,24,24,24,24,24,24
21,20,20,20,20,20,6,20,144,144
8,8,8,8,8,8,8,48,48,99
119,117,46,46,41,46,46,46,46,117
43,41,41,43,98,41,35,11,41,43
106,106,106,106,27,106,70,106,12,106
98,98,98,98,119,98,106,103,98,103
103,107,107,27,122,103,105,83,20,21
107,119,119,119,44,119,103,119,119,119
152,122,122,40,100,48,20,122,122,122
122,44,44,122,43,122,119,27,27,143
44,148,148,44,40,44,122,100,100,27
148,100,100,100,117,27,44,43,125,100
100,43,43,125,48,100,27,134,43,125
53,40,40,54,59,43,100,91,44,134
52,91,105,59,91,39,125,44,56,39
64,59,125,91,95,91,43,125,59,56
95,111,59,64,111,95,134,56,91,150
111,,68,95,,111,91,111,95,57
,,111,111,,,80,,111,59
,,,,,,123,,,91
,,,,,,95,,,68
,,,,,,111,,,88
,,,,,,,,,95
,,,,,,,,,111
