Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury,Albury
Armidale Dumaresq,Armidale Dumaresq,Armidale Dumaresq,Kempsey,Kempsey,Armidale Dumaresq,Kempsey,Armidale Dumaresq,Kempsey,Kempsey
Burwood,Burwood,Burwood,Burwood,Burwood,Burwood,Strathfield,Burwood,Burwood,Burwood
Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron
Brewarrina,Bourke,Bourke,Bourke,Bourke,Bourke,Balranald,Bourke,Wentworth,Wentworth
Bathurst Regional,Bathurst Regional,Bathurst Regional,Bathurst Regional,Bathurst Regional,Bathurst Regional,Bathurst Regional,Forbes,Forbes,Narromine
Snowy River,Shoalhaven,Eurobodalla,Eurobodalla,Corowa Shire,Eurobodalla,Eurobodalla,Eurobodalla,Eurobodalla,Shoalhaven
Deniliquin,Corowa Shire,Corowa Shire,Deniliquin,Narrandera,Corowa Shire,Coffs Harbour,Berrigan,Corowa Shire,Deniliquin
Parramatta,Parramatta,Parramatta,Parramatta,Campbelltown,Parramatta,Jerilderie,Parramatta,Blacktown,Parramatta
Narrandera,Narrandera,Narrandera,Narrandera,Snowy River,Narrandera,Parramatta,Orange,Narrandera,Orange
Orange,Penrith,Penrith,Campbelltown,Sydney,Orange,Parkes,Lithgow,Bourke,Brewarrina
Penrith,Snowy River,Snowy River,Snowy River,Dubbo,Snowy River,Orange,Snowy River,Snowy River,Snowy River
Young,Sydney,Sydney,Cootamundra,Newcastle,Forbes,Bourke,Sydney,Sydney,Sydney
Sydney,Dubbo,Dubbo,Sydney,Deniliquin,Sydney,Snowy River,Campbelltown,Campbelltown,Wellington
Dubbo,Wollongong,Wollongong,Dubbo,Cootamundra,Dubbo,Sydney,Newcastle,Newcastle,Campbelltown
Wollongong,Newcastle,Newcastle,Newcastle,Shoalhaven,Campbelltown,Dubbo,Deniliquin,Tenterfield,Newcastle
Newcastle,Deniliquin,Deniliquin,Tenterfield,Forbes,Newcastle,Campbelltown,Wagga Wagga,Deniliquin,Tenterfield
Goulburn Mulwaree,Cootamundra,Cootamundra,Great Lakes,Gunnedah,Deniliquin,Newcastle,Moree Plains,Dubbo,Wagga Wagga
Gosford,Moree Plains,Parkes,Gunnedah,Moree Plains,Coonamble,Tenterfield,Dubbo,Greater Taree,Coonamble
Hay,Gunnedah,Tenterfield,Moree Plains,Muswellbrook,Moree Plains,Deniliquin,Tenterfield,Gunnedah,Greater Taree
Muswellbrook,Queanbeyan,Gunnedah,Hay,Queanbeyan,Muswellbrook,Wagga Wagga,Greater Taree,Moree Plains,Wyong
Queanbeyan,,Hurstville,Muswellbrook,,Queanbeyan,Moree Plains,Queanbeyan,Muswellbrook,Griffith
,,Queanbeyan,Queanbeyan,,,Leeton,,Queanbeyan,Gunnedah
,,,,,,Tamworth Regional,,,Moree Plains
,,,,,,Muswellbrook,,,Hurstville
,,,,,,Queanbeyan,,,Manly
,,,,,,,,,Muswellbrook
,,,,,,,,,Queanbeyan
